Year (Cost burden > 50% ),<80% HAMFI,80-100% HAMFI,>100% HAMFI,Total
2010,"390,765","22,530","18,050","431,345"
2011,"400,210","24,845","20,865","445,920"
2012,"414,540","25,785","22,480","462,805"
2013,"425,920","27,650","24,105","477,675"
2014,"435,990","27,465","24,020","487,475"
2015,"439,015","27,740","23,795","490,550"
2016,"439,755","29,245","24,140","493,140"
2017,"433,575","33,675","30,420","497,670"
2018,"418,965","39,795","40,015","498,775"
2019,"444,980","29,625","27,660","502,265"
2020,"443,600","33,000","30,940","507,540"
2021,"442,975","35,750","34,050","512,775"
2022,"452,565","37,725","35,725","526,015"