year	month	cpi	date	pct_from_2000	pct_yoy
1999	2	170.6	1999-02	-3.1232254400908577	
1999	4	172.2	1999-04	-2.2146507666098842	
1999	6	172.7	1999-06	-1.9307211811470788	
1999	8	173.4	1999-08	-1.5332197614991419	
1999	10	174.7	1999-10	-0.7950028392958578	
1999	12	174.4	1999-12	-0.9653605905735314	
2000	2	176.1	2000-02	0.0	3.223915592028126
2000	4	177.8	2000-04	0.9653605905735475	3.252032520325221
2000	6	179.2	2000-06	1.7603634298693893	3.7637521713954847
2000	8	180.3	2000-08	2.3850085178875737	3.979238754325265
2000	10	182.1	2000-10	3.4071550255536627	4.235832856325139
2000	12	181.5	2000-12	3.0664395229982997	4.071100917431192
2001	2	184.0	2001-02	4.486087450312326	4.486087450312315
2001	4	184.2	2001-04	4.5996592844974415	3.5995500562429505
2001	6	186.3	2001-06	5.792163543441236	3.962053571428581
2001	8	186.8	2001-08	6.076093128904041	3.605102606766497
2001	10	187.9	2001-10	6.70073821692221	3.1850631521142203
2001	12	186.1	2001-12	5.6785917092561045	2.534435261707979
2002	2	187.6	2002-02	6.5303804656445195	1.9565217391304346
2002	4	188.8	2002-04	7.211811470755262	2.4972855591748333
2002	6	189.4	2002-06	7.552526973310626	1.6639828234031206
2002	8	190.3	2002-08	8.063600227143679	1.873661670235549
2002	10	190.9	2002-10	8.404315729699041	1.5965939329430467
2002	12	190.0	2002-12	7.893242475865988	2.0956475013433673
2003	2	191.3	2003-02	8.631459398069289	1.9722814498934094
2003	4	192.3	2003-04	9.199318568994899	1.8538135593220373
2003	6	191.7	2003-06	8.858603066439521	1.2143611404434873
2003	8	194.4	2003-08	10.391822827938677	2.154492905937988
2003	10	193.7	2003-10	9.994321408290741	1.4667365112624342
2003	12	191.0	2003-12	8.4611016467916	0.5263157894736858
2004	2	193.5	2004-02	9.880749574105625	1.1500261369576492
2004	4	194.3	2004-04	10.335036910846119	1.0400416016640657
2004	6	195.3	2004-06	10.90289608177173	1.8779342723004744
2004	8	194.6	2004-08	10.505394662123793	0.10288065843619965
2004	10	196.5	2004-10	11.584327086882457	1.445534331440368
2004	12	195.1	2004-12	10.789324247586599	2.1465968586387385
2005	2	197.6	2005-02	12.208972174900625	2.1188630490956095
2005	4	201.3	2005-04	14.310051107325394	3.6026762738033957
2005	6	199.8	2005-06	13.458262350936979	2.304147465437789
2005	8	199.9	2005-08	13.515048268029537	2.7235354573484027
2005	10	203.3	2005-10	15.445769449176613	3.4605597964376678
2005	12	200.9	2005-12	14.082907438955147	2.97283444387495
2006	2	203.6	2006-02	15.616127200454288	3.0364372469635637
2006	4	207.4	2006-04	17.773992049971614	3.0303030303030276
2006	6	208.2	2006-06	18.228279386712092	4.204204204204198
2006	8	209.6	2006-08	19.02328222600795	4.852426213106553
2006	10	209.8	2006-10	19.13685406019308	3.1972454500737824
2006	12	209.3	2006-12	18.852924474730276	4.181184668989557
2007	2	211.704	2007-02	20.21805792163544	3.9803536345776047
2007	4	215.767	2007-04	22.52526973310619	4.034233365477324
2007	6	215.51	2007-06	22.379329926178308	3.511047070124884
2007	8	215.978	2007-08	22.645088018171503	3.042938931297723
2007	10	218.427	2007-10	24.035775127768314	4.112011439466157
2007	12	218.966	2007-12	24.341851220897226	4.618251313903476
2008	2	221.728	2008-02	25.910278250993763	4.734912897252763
2008	4	223.196	2008-04	26.743895513912552	3.443065899790043
2008	6	228.068	2008-06	29.510505394662133	5.827107790821784
2008	8	227.745	2008-08	29.32708688245316	5.448240098528556
2008	10	225.915	2008-10	28.287904599659285	3.428147619113031
2008	12	222.58	2008-12	26.394094264622385	1.6504845501128074
2009	2	224.737	2009-02	27.618966496308918	1.3570681194977618
2009	4	225.918	2009-04	28.28960817717207	1.2195559060198313
2009	6	227.257	2009-06	29.049971607041456	-0.3555956995282106
2009	8	227.138	2009-08	28.982396365701312	-0.26652615864234397
2009	10	226.277	2009-10	28.493469619534352	0.1602372573755506
2009	12	225.596	2009-12	28.106757524134018	1.3550184203432458
2010	2	226.085	2010-02	28.38444065871665	0.5998122249562865
2010	4	226.513	2010-04	28.627484383872808	0.2633698952717367
2010	6	226.118	2010-06	28.403180011357183	-0.5011946826720459
2010	8	227.645	2010-08	29.2703009653606	0.22321232026345506
2010	10	227.251	2010-10	29.046564452015904	0.43044586944320784
2010	12	226.862	2010-12	28.825667234525838	0.5611801627688484
2011	2	229.482	2011-02	30.313458262350938	1.5025322334520252
2011	4	231.314	2011-04	31.353776263486655	2.1195251486669564
2011	6	233.25	2011-06	32.45315161839864	3.15410537860763
2011	8	233.81	2011-08	32.77115275411698	2.7081640273232344
2011	10	235.916	2011-10	33.96706416808632	3.8129645194080464
2011	12	234.812	2011-12	33.34014764338445	3.5043330306530063
2012	2	235.744	2012-02	33.86939239068711	2.7287543249579382
2012	4	237.931	2012-04	35.11130039750143	2.8606137112323626
2012	6	239.54	2012-06	36.02498580352073	2.696677384780277
2012	8	240.213	2012-08	36.407155025553664	2.7385483939951216
2012	10	241.355	2012-10	37.055650198750705	2.305481612099225
2012	12	237.993	2012-12	35.146507666098806	1.3547007819021184
2013	2	239.898	2013-02	36.228279386712096	1.7620809013166872
2013	4	240.823	2013-04	36.753549119818295	1.215478437025852
2013	6	242.82	2013-06	37.88756388415673	1.3692911413542674
2013	8	242.767	2013-08	37.85746734809767	1.0632230562042766
2013	10	242.787	2013-10	37.868824531516196	0.5933168983447645
2013	12	241.055	2013-12	36.885292447473034	1.2865924628035375
2014	2	242.77	2014-02	37.85917092561046	1.1971754662398304
2014	4	246.616	2014-04	40.04315729699036	2.40550113568887
2014	6	247.642	2014-06	40.62578080636003	1.9858331274194896
2014	8	247.185	2014-08	40.366269165247026	1.8198519568145555
2014	10	247.854	2014-10	40.74616695059626	2.087014543612309
2014	12	245.05	2014-12	39.15388983532085	1.6572981269834752
2015	2	245.496	2015-02	39.40715502555368	1.1228735016682423
2015	4	247.611	2015-04	40.608177172061325	0.4034612515003033
2015	6	251.622	2015-06	42.88586030664396	1.6071587210570115
2015	8	251.617	2015-08	42.88302101078932	1.7929890567793372
2015	10	250.831	2015-10	42.43668370244179	1.2011103310819893
2015	12	250.385	2015-12	42.18341851220897	2.177106712915733
2016	2	250.942	2016-02	42.49971607041454	2.21836608335777
2016	4	253.815	2016-04	44.13117546848382	2.505542968608032
2016	6	256.098	2016-06	45.42759795570699	1.778858764336988
2016	8	256.907	2016-08	45.8869960249858	2.1024016660241562
2016	10	256.941	2016-10	45.906303236797264	2.435903058234423
2016	12	256.821	2016-12	45.83816013628622	2.570441520059119
2017	2	259.503	2017-02	47.361158432708685	3.4115452973196847
2017	4	261.56	2017-04	48.52924474730268	3.0514351003683826
2017	6	263.756	2017-06	49.776263486655296	2.9902615405040134
2017	8	263.333	2017-08	49.536059057353796	2.5012942426636986
2017	10	264.653	2017-10	50.28563316297559	3.001467262912505
2017	12	265.85	2017-12	50.96536059057356	3.515678235035291
2018	2	268.031	2018-02	52.203861442362296	3.2862818541596894
2018	4	270.309	2018-04	53.49744463373085	3.34493041749504
2018	6	272.395	2018-06	54.68199886428165	3.275375726049834
2018	8	271.625	2018-08	54.24474730266894	3.1488647453983942
2018	10	272.805	2018-10	54.91482112436117	3.0802598119046287
2018	12	273.293	2018-12	55.19193639977287	2.7996990784276754
2019	2	275.304	2019-02	56.33390119250426	2.713492096063508
2019	4	276.765	2019-04	57.16354344122657	2.3883777454690502
2019	6	278.631	2019-06	58.223168654173755	2.289322491235146
2019	8	280.286	2019-08	59.16297558205565	3.1885872066267806
2019	10	278.682	2019-10	58.25212947189099	2.1542860284818888
2019	12	279.421	2019-12	58.67177739920499	2.2422820928454046
2020	2	282.115	2020-02	60.201590005678604	2.4739923865981117
2020	4	280.484	2020-04	59.27541169789892	1.343739273390776
2020	6	281.055	2020-06	59.599659284497456	0.8699678068843975
2020	8	284.905	2020-08	61.785917092561036	1.6479595841390582
2020	10	284.505	2020-10	61.558773424190804	2.089478330139727
2020	12	283.409	2020-12	60.93639977285633	1.4272370365863596
2021	2	286.95	2021-02	62.947189097103916	1.7138401006681514
2021	4	290.068	2021-04	64.71777399204997	3.416950699505139
2021	6	296.573	2021-06	68.41169789892106	5.521339239650591
2021	8	299.704	2021-08	70.18966496308916	5.194363033291816
2021	10	303.099	2021-10	72.1175468483816	6.535561765171094
2021	12	304.856	2021-12	73.1152754116979	7.56750844186318
2022	2	310.078	2022-02	76.08063600227143	8.059940756229311
2022	4	316.525	2022-04	79.74162407722885	9.120964739302506
2022	6	326.656	2022-06	85.49460533787622	10.143539701860927
2022	8	326.796	2022-08	85.5741056218058	9.039585724581588
2022	10	330.173	2022-10	87.4917660420216	8.93239502604759
2022	12	330.489	2022-12	87.67120954003407	8.40823208334427
2023	2	334.987	2023-02	90.22544009085749	8.033140048632937
2023	4	338.487	2023-04	92.21294718909712	6.938472474528101
2023	6	341.734	2023-06	94.05678591709255	4.615865007836972
2023	8	344.449	2023-08	95.5985235661556	5.401840903805444
2023	10	345.992	2023-10	96.47473026689383	4.791124652833512
2023	12	344.982	2023-12	95.90119250425897	4.385319935005416
2024	2	349.288	2024-02	98.34639409426464	4.26912089125846
2024	4	353.503	2024-04	100.73992049971608	4.436211730435713
2024	6	354.824	2024-06	101.49006246450882	3.8304646303850554
2024	8	355.179	2024-08	101.69165247018739	3.1151200903471787
2024	10	356.212	2024-10	102.27825099375355	2.9538255219773824
2024	12	354.348	2024-12	101.21976149914822	2.71492425691775
2025	2	358.096	2025-02	103.34809767177742	2.521701289480305
2025	4	359.4	2025-04	104.0885860306644	1.6681612320121664
2025	6	364.344	2025-06	106.8960817717206	2.683020314296658
2025	8	365.211	2025-08	107.38841567291313	2.824491312831001
2025	12	365.447	2025-12	107.52243043725156	2.5925572411934494
2026	2	372.121	2026-02	111.31232254400909	5.0156907898450065
2026	4	377.091	2026-04	114.13458262350937	5.304443501184042
