quarter,Productivity-index,Pay-index,cpi-index
1999q1,100,100,100
1999q2,99.48867787,100.1523616,98.25072886
1999q3,100,100.4062976,98.62001944
1999q4,100.9130752,100.5586592,99.55296404
2000q1,99.78086194,100,100.4081633
2000q2,101.4974434,100.6094464,100.2915452
2000q3,101.4609204,100.761808,101.6132167
2000q4,102.5200877,101.5744033,102.7405248
2001q1,101.6800584,101.7775521,104.8979592
2001q2,102.8853178,102.3869985,107.5218659
2001q3,103.0679328,103.0472321,105.6948494
2001q4,104.3827611,104.1137633,107.0942663
2002q1,106.1723886,104.773997,109.8153547
2002q2,106.0993426,104.773997,108.1049563
2002q3,106.6471877,105.3834434,109.0184645
2002q4,106.7932798,106.1960386,109.7959184
2003q1,107.4506939,106.2468258,111.8756074
2003q2,109.5325055,106.9578466,110.8649174
2003q3,111.0299489,106.8562722,112.866861
2003q4,112.2352082,106.6531234,113.9164237
2004q1,112.2352082,106.6531234,114.3051506
2004q2,113.1848064,106.551549,115.2380952
2004q3,113.8056976,106.6531234,113.3527697
2004q4,114.2439737,106.297613,115.1409135
2005q1,115.485756,106.7546978,115.2769679
2005q2,115.6683711,106.9070594,117.5704568
2005q3,115.376187,106.1960386,116.96793
2005q4,115.6683711,106.1452514,118.9504373
2006q1,116.5449233,106.4499746,119.9611273
2006q2,116.2892622,106.7039106,119.1836735
2006q3,115.6318481,106.6531234,121.3216715
2006q4,116.8005844,107.9735907,121.6326531
2007q1,117.3849525,107.9228035,124.3226433
2007q2,117.3484295,108.1259523,125.2379009
2007q3,118.0423667,108.5322499,125.1238095
2007q4,117.8597516,108.0243779,127.9372206
2008q1,116.5814463,107.9735907,128.83207
2008q2,116.6179693,107.7704418,133.006414
2008q3,115.7414171,107.1609954,134.4888241
2008q4,117.5675676,110.5129507,136.6433431
2009q1,119.5763331,112.9507364,137.5813411
2009q2,120.9276844,113.0015236,134.7584062
2009q3,121.8772827,112.7983748,131.7541302
2009q4,123.119065,112.7983748,128.9902818
2010q1,123.7034332,113.7633316,131.5537415
2010q2,124.3973703,114.2204165,131.16793
2010q3,125.8582907,114.3727781,131.2631681
2010q4,125.8948137,114.1696293,130.0610301
2011q1,124.5434624,113.61097,133.1549077
2011q2,123.8495252,112.7983748,135.7898931
2011q3,123.5208181,112.3920772,137.9865889
2011q4,123.6669102,112.4428644,137.3770651
2012q1,124.2147553,111.6810564,137.2985423
2012q2,124.8721695,111.9349924,137.1856171
2012q3,124.1417093,112.0365668,138.0588921
2012q4,124.0321402,111.6302692,138.03207
2013q1,125.0547845,112.4428644,138.4456754
2013q2,125.4565376,113.3062468,138.1648202
2013q3,125.9313367,113.5093956,137.2662779
2013q4,126.734843,113.7633316,139.2223518
2014q1,125.7121987,113.61097,140.4307094
2014q2,126.3330898,113.5093956,142.2806608
2014q3,127.4653031,113.7125444,142.731001
2014q4,127.2826881,114.3727781,144.959378
2015q1,128.5975164,115.8456069,145.382896
2015q2,129.1818846,115.6932453,144.3881438
2015q3,129.5471147,115.8963941,146.5793975
2015q4,129.1453616,116.7597765,146.3716229
2016q1,129.5105917,117.5723718,144.5154519
2016q2,129.4375457,117.369223,144.3552964
2016q3,129.8027757,117.5723718,143.4204082
2016q4,130.715851,117.5215846,142.126725
2017q1,130.679328,117.4200102,143.6268222
2017q2,130.715851,118.0294566,145.1724004
2017q3,131.9941563,118.4357542,146.5228377
2017q4,132.4689554,118.2326054,145.0087464
2018q1,132.9437546,118.4357542,145.3304179
2018q2,133.1263696,118.892839,145.9687075
2018q3,133.4915997,119.4514982,147.94655
2018q4,133.3820307,120.2133062,148.0684159
2019q1,134.1490139,120.7211783,150.1576288
2019q2,134.696859,121.0259015,148.7275024
2019q3,135.9021183,121.6861351,148.9113703
2019q4,136.6325785,121.8892839,148.0550049
2020q1,136.3038714,122.3971559,151.2258503
2020q2,141.0883857,128.8471305,156.479689
2020q3,143.4623813,126.1046216,154.9292517
2020q4,142.403214,125.95226,154.8048591
2021q1,144.0832725,126.1554088,155.6262391
2021q2,144.7406866,125.7998984,159.1560739
2021q3,144.2293645,125.698324,162.8147716
2021q4,144.5580716,124.9873032,168.0324587
2022q1,143.0241052,124.0731336,175.1426628
2022q2,142.220599,122.9050279,180.5172012
2022q3,142.0014609,122.8542407,184.8740525
2022q4,142.5858291,123.1589639,183.1135083
2023q1,143.0971512,123.666836,186.3823129
2023q2,143.6084733,124.4794312,185.6618076
2023q3,145.4346238,124.936516,186.3992225
2023q4,146.201607,125.5459624,187.5852284
2024q1,146.4207451,125.9014728,189.0931001
2024q2,147.5164354,126.3585576,186.6579203
2024q3,148.4295106,127.3743017,187.4279883
2024q4,148.7947407,127.5774505,190.8623907
2025q1,148.5756026,127.9329609,193.4281827
2025q2,150.073046,128.7455561,192.7259475
2025q3,151.4974434,128.8471305,191.8268222
2025q4,152.3739956,129.4057897,189.3169096