year quarter,Average Ren,Cap Line,rent YoY growth
2015 Q2,1385.333333,0.069772506,0.081165453
2015 Q3,1395.333333,0.048448613,0.077754892
2015 Q4,1409.333333,0.040999174,0.070379747
2016 Q1,1458.333333,0.063850971,0.078383042
2016 Q2,1489.333333,0.075660367,0.075072185
2016 Q3,1480,0.091631716,0.060678452
2016 Q4,1489.666667,0.090277829,0.057000946
2017 Q1,1546.666667,0.081861264,0.060571429
2017 Q2,1577,0.075485251,0.058863026
2017 Q3,1559.333333,0.079716658,0.053603604
2017 Q4,1562,0.091099897,0.048556724
2018 Q1,1609.666667,0.1,0.040732759
2018 Q2,1641.666667,0.088899907,0.04100613
2018 Q3,1630.666667,0.076521411,0.045746045
2018 Q4,1631.333333,0.069909426,0.044387537
2019 Q1,1673.333333,0.077114001,0.039552702
2019 Q2,1715.666667,0.1,0.045076142
2019 Q3,1696.666667,0.1,0.040474244
2019 Q4,1710.666667,0.1,0.048630977
2020 Q1,1771.333333,0.099098125,0.058565737
2020 Q2,1740.333333,0.08710372,0.014377307
2020 Q3,1702,0.1,0.003143418
2020 Q4,1691,0.1,-0.011496493
2021 Q1,1758.666667,0.1,-0.007150922
2021 Q2,1873.333333,0.1,0.076422141
2021 Q3,1918,0.1,0.126909518
2021 Q4,1896.666667,0.1,0.121624285
2022 Q1,1874.333333,0.1,0.065769522
2022 Q2,1937.666667,0.098499259,0.034341637
2022 Q3,1899.666667,0.078249779,-0.009558568
2022 Q4,1859.333333,0.094420482,-0.019683656
2023 Q1,1890,0.08454423,0.008358527
2023 Q2,1919.666667,0.0753652,-0.009289523
2023 Q3,1909,0.075519153,0.004913143
2023 Q4,1905,0.087470258,0.024560774
2024 Q1,1955,0.092925652,0.034391534
2024 Q2,1996.666667,0.1,0.04011113
2024 Q3,1993.333333,0.093469461,0.044176707
2024 Q4,1988,0.061902642,0.043569554
2025 Q1,2034.666667,0.087978513,0.040750213
2025 Q2,2062.666667,0.076864836,0.033055092
2025 Q3,2048.333333,0.07,0.027591973
2025 Q4,2025.333333,0.07,0.018779343
2026 Q1,2059.333333,0.07,0.012123198
Grand Total,1246.197196,0.07,-0.395831999